STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGPTCH30601,Endpoint  Mobile Protection,Watchguard Endpoint Module - Patch Management - 1 Year - 1001 to 5000 licenses,https://www.leadersystems.com.au/Images/NWG-WGPTCH30601.jpg,Watchguard,WGPTCH30601,16,20
NWG-WGINSG30601,Endpoint  Mobile Protection,Watchguard Endpoint Module - Advanced Reporting Tool - 1 Year - 1001 to 5000 licenses,https://www.leadersystems.com.au/Images/NWG-WGINSG30601.jpg,Watchguard,WGINSG30601,11,14
NWG-WGENCR30703,Endpoint  Mobile Protection,Watchguard Endpoint Module - Full Encryption - 3 Year - 5001+ licenses,https://www.leadersystems.com.au/Images/NWG-WGENCR30703.jpg,Watchguard,WGENCR30703,24,31
NWG-WGENCR30501,Endpoint  Mobile Protection,Watchguard Endpoint Module - Full Encryption - 1 Year - 501 to 1000 licenses,https://www.leadersystems.com.au/Images/NWG-WGENCR30501.jpg,Watchguard,WGENCR30501,13,17
NWG-WGM29040203,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040203.jpg,Watchguard,WGM29040203,3644,4540
NWG-WGM29040103,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040103.jpg,Watchguard,WGM29040103,1331,1658
NWG-WGT15521,Subscriptions  Licensing,WatchGuard Cloud 1-month data retention for T15/T15-W - 1-yr,https://www.leadersystems.com.au/Images/NWG-WGT15521.jpg,Watchguard,WGT15521,136,173
NWG-WGMDR30101,Managed Detection  Response (MDR),WatchGuard Core MDR - 1 Year - 1 to 50 licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30101.jpg,Watchguard,WGMDR30101,99,118
NWG-WGMDR30703,Managed Detection  Response (MDR),WatchGuard Core MDR - 3 Year - 5001+ licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30703.jpg,Watchguard,WGMDR30703,103,123
NWG-WGT49175,Cloud  Server Security,WatchGuard APT Blocker 5-yr for Firebox T45-CW,https://www.leadersystems.com.au/Images/NWG-WGT49175.jpg,Watchguard,WGT49175,1704,2123
NWG-WGT8021801,Cloud  Server Security,WatchGuard Cloud 1-month data retention for T80 - 1-yr,https://www.leadersystems.com.au/Images/NWG-WGT8021801.jpg,Watchguard,WGT8021801,473,589
NWG-WGCSM061,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud Small with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCSM061.jpg,Watchguard,WGCSM061,1465,1984
NWG-WGCLG063,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud Large with 3-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCLG063.jpg,Watchguard,WGCLG063,12962,17875
NWG-WGCXL671,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud XLarge with 1-yr Total Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCXL671.jpg,Watchguard,WGCXL671,24443,33708
NWG-WGCXL061,Firewalls  Network Security,Trade up to WatchGuard Firebox Cloud XLarge with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCXL061.jpg,Watchguard,WGCXL061,14581,20107
